CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904
 108,5,0,0,3,3,1,1,1,3,3,5,4,5,1,3,3,5,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 109,1,1,0,1,4,1,1,1,3,3,1,5,3,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 110,1,1,0,1,5,1,1,1,1,5,0,3,0,1,5,1,2,1,5,1,0,0,5,0,1,10," ",0,0,0,0,0,0,0,2,0,0," "," "," ",0,0,0,5,1, 20
 111,5,0,0,3,2,8,0,8,0,8,0,8,0,5,0,3,4,3,1,0,3,0,1,7,0, 9," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,8,5,230
 112,5,0,0,3,5,1,1,1,3,5,0,3,0,1,5,3,2,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 113,5,0,0,3,4,1,1,1,3,1,1,1,3,5,0,5,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 114,1,1,0,1,5,3,1,5,3,3,5,4,3,1,3,1,2,2,1,0,1,1,1,7,0,19," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,269
 115,1,1,0,1,5,1,5,2,3,3,5,4,3,5,0,4,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 116,1,1,0,1,5,5,0,3,0,8,0,8,0,1,1,3,4,2,1,0,3,0,1,7,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,5,5,230
 117,5,0,0,3,2,5,0,3,0,8,0,8,0,1,5,1,1,1,1,0,1,2,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
 118,1,1,0,1,3,1,5,2,3,1,5,2,3,1,1,7,7,2,5,1,0,0,5,0,1, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 119,1,1,0,1,3,1,5,2,5,5,0,3,0,1,5,1,2,2,1,0,2,0,1,1,0, 3," ",0,0,2,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,221
 120,5,0,0,3,3,1,1,1,1,1,5,2,1,1,5,1,1,1,1,0,1,2,1,7,0, 4," ",0,0,0,2,0,0,0,0,0,0," "," "," ",0,0,0,1,1,231
 121,1,1,0,1,5,1,1,1,3,5,0,3,0,5,0,2,5,2,5,1,0,0,5,0,1, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,110
 122,1,1,0,1,5,1,1,1,5,1,1,1,5,1,5,1,2,1,1,0,1,2,1,1,0, 1," ",2,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,121
 123,1,1,0,1,4,1,1,1,1,5,0,3,0,5,0,5,5,3,1,0,4,0,1,1,0, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,110
